rxn,r1_radius,r2_radius,alpha_angle,psi_1_dihedral,psi_2_dihedral,psi_1_dihedral_sin,psi_1_dihedral_cos
rmg_rxn_86,1.4640955120260977,1.531798361857647,176.08501315888785,313.5503004056642,65.81991799606672,-0.7247697797808156,0.6889911220882807
rxn_618,1.2611863279574926,1.4283798991965804,173.401825017929,292.58088416314115,244.91117188785617,-0.9233383798265601,0.3839872866896286
rxn_1833,1.2596097154764132,1.430097093953895,176.84159382075958,233.01247254718052,348.3049608203629,-0.7987664984391507,-0.6016411563143417
rmg_rxn_182,1.4644465607348214,1.5408735125130586,176.15200232519445,34.46877833266311,62.45575859426765,0.5659570692744303,0.8244347128416523
rxn_1240,1.2611011138992163,1.463960508460119,169.81884705776824,202.7556705334487,330.0489835112712,-0.3868022294924846,-0.9221626945716483
rmg_rxn_157,1.233108450173843,1.5044061003490568,171.37105856716633,248.90381744537916,90.47705573001328,-0.9329775182587602,-0.3599346474343986
rxn_563,1.2432712649550537,1.4728671866401264,176.82316964673893,217.09112626192967,210.65248063227435,-0.6030844539456144,-0.797677341667118
rmg_rxn_521,1.3236886372811023,1.376920182936512,173.12377339260289,113.41947804209993,275.438777780662,0.9176195598591056,-0.39745986384033977
kfir_rxn_13503,1.2771713653807235,1.4880683326105393,172.8037409273508,281.4006835365249,356.7250255294129,-0.9802688165072226,0.19766903496382288
rxn_1423,1.3266124414898917,1.373171197029904,176.56011059584102,164.593765882083,24.606029076852614,0.26566101516702056,-0.9640665044593283
rxn_1605,1.2483774144462627,1.4658859411055598,171.48173256640547,179.9877159758429,0.0100183622416871,0.00021439666529353304,-0.9999999770170347
rxn_1794,1.2997834557132626,1.4046324009426645,170.95298589252613,359.97140962768805,180.02217873623,-0.0004989961105064347,0.9999998755014331
rxn_1827,1.323046635328417,1.378390121043533,172.30696490163734,13.012548569802393,306.7879245948483,0.2251644494954762,0.9743207740181871
rmg_rxn_320,1.2568647237591886,1.3648167136385336,176.7309202717301,354.3389780773605,194.714540750334,-0.09864279470202963,0.995122906506213
rxn_1362,1.2255487808735062,1.5121818050144056,173.92228403053724,356.37574322637136,0.4183449290412801,-0.06321303904994996,0.9980000559589511
rxn_422,1.2773782334645605,1.435187013116764,165.92301091443534,255.11829875043423,318.26367517904663,-0.9664581514207803,-0.25682414518952107
rmg_rxn_15515,1.2958444844263908,1.4297566214773496,165.40912919100015,47.632725044083394,343.6000086101136,0.7388403545488694,0.673880501639646
rxn_3226,1.2645717523956843,1.381777402898377,163.23962336550912,57.249213984308085,51.69607570815128,0.8410315914935357,0.5409860091627605
rxn_37,1.1633302574517832,1.1929481909278783,165.91094208361727,35.143859694951665,297.83971786381323,0.5756313739164172,0.8177093134868271
rxn_51,1.4691325561983457,1.5356092876520122,178.3472465883156,179.87607438352305,0.1266452874042613,0.0021629083486734554,-0.999997660911002
rxn_629,1.2425595572030808,1.31287982531041,165.5768562329851,306.3951356458447,97.121363000042,-0.804944175122757,0.5933505497898728
rxn_1897,1.318936370046526,1.3772586564702378,171.98934633091582,101.20754411866751,319.637996662732,0.9809295720652191,-0.19436351161662552
rxn_1023,1.2828873662440865,1.432331912313361,174.55988689478525,194.6233279729478,152.2908413802918,-0.25246334006591625,-0.9676064602527008
rmg_rxn_214,1.3184698666082788,1.368867506792399,177.50490030345904,278.26986640711897,175.4224198454267,-0.9896015735288279,0.1438357593551333
rmg_rxn_206,1.3381984829848583,1.349583759423605,176.32853952346315,323.03346703172315,311.99449125747947,-0.60134842961017,0.798986899895976
rmg_rxn_501,1.3301743796049714,1.3569071500493246,178.46237325119802,131.6368566176157,84.1713441501375,0.7473708524412611,-0.6644071108298155
rxn_1849,1.3230791617892337,1.335354326353272,171.54991719670264,299.8219776394508,318.15947603528406,-0.8675747591836269,0.4973067838140475
rxn_1438,1.3358895811889815,1.3697870445415226,174.13086318715585,48.4672620539175,334.06084437032706,0.7485769874270162,0.6630478820527917
rxn_1287,1.3389784351432803,1.3550958037907033,175.27934572409427,120.373010348979,86.23439632573887,0.8627519448959758,-0.5056274137922221
rxn_1170,1.240274503764556,1.4904205086032634,174.61636033124188,255.065841051985,307.36819554872085,-0.9662226085868958,-0.2577088874205437
rxn_1496,1.2380062724556966,1.4823375974479016,172.35579478278603,46.10819445884202,142.99952857344215,0.7206502748392606,0.6932987677575217
rxn_921,1.2903801859025588,1.4178866107784431,172.7906667889171,28.67688589178112,38.39044146628521,0.4798696024455561,0.8773398227874669
rmg_rxn_55,1.2598644602247944,1.4359885023023362,173.37823661074788,163.8502164629201,236.97953174970303,0.2781493566826091,-0.9605378365150696
rmg_rxn_15423,1.2462524026065116,1.488913094069185,175.1829714359477,127.8807554615367,353.0921928133896,0.7892903667767797,-0.614020127449725
rmg_rxn_16609,1.2926918032826815,1.4163877642730287,169.95720768054628,348.6296923396708,21.668041677009118,-0.19714930882164503,0.9803734747692573
rxn_1657,1.25190018230979,1.4556746725711458,171.07366353188954,199.97699693177904,108.870020217209,-0.3416428486560207,-0.9398298590501365
rmg_rxn_15619,1.3234382962671472,1.3788164233810736,176.21286082856915,295.983661287064,35.143527899134824,-0.8989190175702062,0.43811482496100873
rxn_1040,1.2929336220386276,1.4129159399353397,173.15857660565302,49.85318200751743,27.28639391590064,0.764394814079292,0.6447484534364426
rmg_rxn_504,1.3382137604468474,1.351304795938875,175.7718449609879,1.7615881767859056,25.771821468925875,0.030740670090949294,0.9995273939229277
rxn_1220,1.293419750651279,1.409127618431759,172.93231482523535,193.02389487754664,345.9262853746266,-0.22535739023915258,-0.9742761655016499
rxn_253,1.266664196104016,1.4375213953167474,176.4628184975848,119.12368888860124,314.3088148668721,0.8735710734333946,-0.48669659918724195
rmg_rxn_60,1.254614229069952,1.28822539921551,178.26126537762943,14.74610450176917,3.33933498637998,0.25453619886955187,0.9670632468794582
rxn_1027,1.3476164881051125,1.353048929450469,174.70700093427547,171.98967882907112,347.0080701306731,0.13935148402172226,-0.9902429822528124
rmg_rxn_16633,1.2213095661579234,1.28992382519579,166.56385909075146,21.812294122488147,335.1759731883114,0.37156705491092895,0.9284061200276627
rmg_rxn_16469,1.2802553270166197,1.342551029166086,172.0448598472768,10.831031611867232,29.723058973883557,0.1879132975839803,0.9821856202323034
