rxn,r1_radius,r2_radius,alpha_angle,psi_1_dihedral,psi_2_dihedral
rmg_rxn_86,1.4640955120260977,1.531798361857647,176.08501315888785,313.5503004056642,65.81991799606672
rxn_191,1.0226510790176155,1.2734056714532709,177.63282274146894,-10.0,339.35922551041796
rxn_618,1.2611863279574926,1.4283798991965804,173.40182501792899,292.58088416314115,244.91117188785617
rxn_1833,1.2596097154764132,1.430097093953895,176.84159382075958,233.01247254718055,348.3049608203629
rmg_rxn_182,1.4644465607348214,1.5408735125130586,176.15200232519445,34.46877833266311,62.45575859426765
rxn_1240,1.2611011138992163,1.463960508460119,169.81884705776824,202.7556705334487,330.0489835112712
rmg_rxn_157,1.233108450173843,1.5044061003490568,171.37105856716633,248.90381744537913,90.47705573001328
rxn_563,1.2432712649550537,1.4728671866401264,176.82316964673893,217.09112626192967,210.65248063227435
rmg_rxn_521,1.3236886372811025,1.3769201829365119,173.12377339260289,113.41947804209993,275.438777780662
rmg_rxn_16785,0.9393372969887817,1.2497764387483812,173.33216970137673,-10.0,359.9143859910476
kfir_rxn_13503,1.2771713653807237,1.4880683326105393,172.8037409273508,281.4006835365249,356.7250255294129
rxn_1423,1.3266124414898917,1.3731711970299039,176.56011059584102,164.593765882083,24.606029076852618
rxn_1605,1.2483774144462627,1.4658859411055598,171.48173256640547,179.9877159758429,0.010018362241687147
rxn_1794,1.2997834557132626,1.4046324009426645,170.95298589252613,359.97140962768805,180.02217873623
rxn_1827,1.323046635328417,1.378390121043533,172.30696490163734,13.012548569802393,306.7879245948483
rmg_rxn_320,1.2568647237591886,1.3648167136385336,176.7309202717301,354.3389780773605,194.714540750334
rxn_1362,1.2255487808735062,1.5121818050144056,173.92228403053724,356.37574322637136,0.4183449290412801
rxn_1169,1.1165364108813158,1.2089004117684945,173.9854440575854,-10.0,274.7618790803083
rxn_422,1.2773782334645603,1.435187013116764,165.92301091443534,255.11829875043426,318.26367517904663
rmg_rxn_15515,1.2958444844263908,1.4297566214773496,165.40912919100015,47.632725044083394,343.6000086101136
rxn_3226,1.2645717523956845,1.381777402898377,163.23962336550912,57.249213984308085,51.69607570815128
rxn_144,1.3754169958869813,1.3771173473933953,144.84830580794258,-10.0,301.66707517819464
rxn_37,1.1633302574517832,1.1929481909278785,165.91094208361727,35.143859694951665,297.83971786381323
rxn_51,1.4691325561983455,1.5356092876520122,178.3472465883156,179.87607438352305,0.12664528740426131
rxn_629,1.2425595572030808,1.31287982531041,165.5768562329851,306.3951356458447,97.121363000042
rxn_1897,1.318936370046526,1.3772586564702378,171.98934633091582,101.20754411866751,319.637996662732
rxn_1023,1.2828873662440865,1.432331912313361,174.55988689478525,194.6233279729478,152.2908413802918
rmg_rxn_214,1.3184698666082788,1.368867506792399,177.50490030345904,278.26986640711897,175.4224198454267
rmg_rxn_206,1.3381984829848583,1.349583759423605,176.32853952346315,323.03346703172315,311.99449125747947
rmg_rxn_501,1.3301743796049714,1.3569071500493246,178.46237325119802,131.63685661761573,84.1713441501375
rxn_1849,1.3230791617892335,1.335354326353272,171.54991719670264,299.8219776394508,318.15947603528406
rxn_1438,1.3358895811889815,1.3697870445415226,174.13086318715585,48.4672620539175,334.06084437032706
rxn_1287,1.3389784351432803,1.3550958037907033,175.27934572409427,120.373010348979,86.23439632573887
rxn_1170,1.240274503764556,1.4904205086032634,174.61636033124188,255.065841051985,307.36819554872085
rxn_1496,1.2380062724556966,1.4823375974479016,172.35579478278603,46.10819445884202,142.99952857344215
rxn_921,1.2903801859025588,1.4178866107784431,172.7906667889171,28.676885891781122,38.39044146628521
rmg_rxn_55,1.2598644602247944,1.4359885023023362,173.37823661074788,163.8502164629201,236.97953174970306
rmg_rxn_16786,0.8948480636415442,1.383830670880052,147.7205823511055,-10.0,6.85645510386119
rmg_rxn_15423,1.2462524026065116,1.488913094069185,175.1829714359477,127.8807554615367,353.0921928133896
rmg_rxn_16609,1.2926918032826815,1.4163877642730287,169.95720768054628,348.6296923396708,21.668041677009114
rxn_1657,1.25190018230979,1.4556746725711458,171.07366353188954,199.97699693177904,108.870020217209
rmg_rxn_15619,1.3234382962671472,1.3788164233810736,176.21286082856915,295.983661287064,35.143527899134824
rxn_1040,1.2929336220386276,1.4129159399353397,173.15857660565302,49.85318200751743,27.28639391590064
rxn_1257,1.0695512389383401,1.229242349439068,174.69475679358786,-10.0,150.782073761014
rmg_rxn_504,1.3382137604468474,1.351304795938875,175.7718449609879,1.7615881767859056,25.771821468925875
rmg_rxn_1155,1.2248610826471087,1.2843502961170625,177.6538530931553,-10.0,306.8384712424181
rxn_1220,1.293419750651279,1.409127618431759,172.93231482523535,193.02389487754664,345.9262853746266
rxn_253,1.2666641961040161,1.4375213953167474,176.4628184975848,119.12368888860125,314.3088148668721
rmg_rxn_60,1.254614229069952,1.28822539921551,178.26126537762943,14.74610450176917,3.33933498637998
rxn_1027,1.3476164881051123,1.353048929450469,174.70700093427547,171.98967882907112,347.0080701306731
rmg_rxn_16633,1.2213095661579234,1.28992382519579,166.56385909075146,21.812294122488147,335.1759731883114
rmg_rxn_16469,1.2802553270166195,1.342551029166086,172.0448598472768,10.831031611867232,29.723058973883553
rxn_1414,1.3450052032228248,1.3485236873024364,174.0276763710924,83.18577624751863,134.21446016560313
rxn_776,1.2094168682884572,1.3675008360251708,165.68392722760672,25.159678920568695,-10.0
rmg_rxn_15405,1.2820402360097936,1.3974635819277479,171.63276478936302,67.27355595236686,339.76285287540793
rmg_rxn_1156,1.257995213097712,1.2635080033755688,176.55057713122594,321.82922437116486,-10.0
